Date,Price,Open,High,Low,Vol.,Change %
30/11/2022,85.09,84.82,85.25,84.71,,0.14%
29/11/2022,84.97,84.07,86.68,83.7,,1.29%
28/11/2022,83.89,84,84.67,80.81,341.92K,0.22%
25/11/2022,83.71,85.45,86.88,83.66,175.71K,-1.79%
24/11/2022,85.24,84.85,85.34,84,142.86K,0.12%
23/11/2022,85.14,87.81,88.76,83.91,305.22K,-2.92%
22/11/2022,87.7,87.37,89.15,86.97,243.70K,0.29%
21/11/2022,87.45,87.74,87.98,82.31,354.60K,-0.19%
18/11/2022,87.62,90.1,90.63,85.8,379.66K,-2.41%
17/11/2022,89.78,92.73,92.91,89.53,313.53K,-3.32%
16/11/2022,92.86,94.11,94.79,91.67,257.62K,-1.07%
15/11/2022,93.86,92.59,95.77,91.53,317.50K,0.77%
14/11/2022,93.14,95.87,96.95,92.5,248.25K,-2.97%
11/11/2022,95.99,93.84,96.92,93.69,238.07K,2.48%
10/11/2022,93.67,92.53,94.32,91.73,278.53K,1.10%
9/11/2022,92.65,95.17,95.65,92.33,308.02K,-2.84%
8/11/2022,95.36,98.24,98.3,95,251.67K,-2.61%
7/11/2022,97.92,97.31,99.56,96.5,241.94K,-0.66%
4/11/2022,98.57,94.58,98.81,94.33,307.09K,4.12%
3/11/2022,94.67,95.36,95.98,94.19,229.12K,-1.55%
2/11/2022,96.16,94.85,96.5,94.01,253.00K,1.60%
1/11/2022,94.65,92.67,95.55,92.33,247.65K,-0.19%
31/10/2022,94.83,96.47,96.47,94.25,15.00K,-0.98%
28/10/2022,95.77,96.58,96.89,94.96,89.94K,-1.23%
27/10/2022,96.96,96.05,97.27,95.07,84.57K,1.33%
26/10/2022,95.69,92.91,96.25,92.06,138.00K,4.31%
25/10/2022,91.74,91.4,92.48,89.75,222.20K,0.58%
24/10/2022,91.21,91.23,92.3,89.01,178.75K,-0.14%
21/10/2022,91.34,90.48,91.72,89.17,181.51K,0.98%
20/10/2022,90.45,90.47,92.66,90.01,211.69K,-0.12%
19/10/2022,90.56,89.31,90.95,87.9,260.25K,2.21%
18/10/2022,88.6,90.53,91.22,87.52,247.36K,-1.75%
17/10/2022,90.18,90.2,91.79,89.49,163.34K,0.03%
14/10/2022,90.15,92.81,93.45,89.81,153.89K,-4.67%
13/10/2022,94.57,92.49,94.92,91.08,280.52K,2.29%
12/10/2022,92.45,93.72,95.17,91.56,257.66K,-1.95%
11/10/2022,94.29,95.93,96.46,93.11,259.03K,-1.98%
10/10/2022,96.19,98.75,98.75,95.6,215.37K,-1.77%
7/10/2022,97.92,94.71,98.58,93.94,269.40K,3.71%
6/10/2022,94.42,93.71,94.98,92.72,207.53K,1.12%
5/10/2022,93.37,91.89,93.96,90.76,296.20K,1.71%
4/10/2022,91.8,88.81,92.4,88.78,282.38K,3.31%
3/10/2022,88.86,86.35,89.82,86.35,270.69K,1.02%
30/09/2022,87.96,88.53,89.8,87.69,5.89K,-0.60%
29/09/2022,88.49,88.97,90.12,87.33,57.86K,-0.93%
28/09/2022,89.32,86.14,89.47,84.26,74.33K,5.24%
27/09/2022,84.87,82.84,85.84,82.81,252.52K,2.43%
26/09/2022,82.86,85.54,86.45,82.44,257.04K,-2.55%
23/09/2022,85.03,89.57,89.88,84.55,304.20K,-5.03%
22/09/2022,89.53,88.83,91.74,88.28,219.29K,0.82%
21/09/2022,88.8,89.57,92.23,88.31,247.64K,-0.67%
20/09/2022,89.4,90.85,91.57,88.56,209.16K,-2.83%
19/09/2022,92,91.43,92.57,88.5,138.53K,0.71%
16/09/2022,91.35,90.51,92.66,90.25,197.48K,0.56%
15/09/2022,90.84,94.65,94.66,90.03,257.62K,-3.46%
14/09/2022,94.1,93.4,95.8,91.93,259.90K,1.00%
13/09/2022,93.17,94.31,95.53,91.05,275.17K,-0.88%
12/9/2022,94,92.54,95.17,91.21,210.43K,1.25%
9/9/2022,92.84,88.62,93.12,88.6,202.94K,4.76%
8/9/2022,88.62,87.98,89.82,87.25,,0.70%
7/9/2022,88,92.81,93.8,87.4,300.20K,-5.20%
6/9/2022,92.83,95.19,95.94,92.3,225.95K,-3.04%
5/9/2022,95.74,93.02,96.99,93.02,144.26K,2.92%
2/9/2022,93.02,92.66,95.32,92.65,210.00K,0.71%
1/9/2022,92.36,95.18,95.68,91.81,297.55K,-4.28%
31/08/2022,96.49,99.79,100.46,95.44,10.07K,-1.38%
30/08/2022,97.84,102.88,103.48,96.63,356.10K,-4.95%
29/08/2022,102.93,98.96,103.22,98.25,211.63K,3.96%
26/08/2022,99.01,98.95,100.1,96.96,277.48K,0.56%
25/08/2022,98.46,100.79,101.53,98.23,223.98K,-1.87%
24/08/2022,100.34,99.3,100.89,98.27,233.92K,1.18%
23/08/2022,99.17,96,99.41,95.81,198.99K,3.51%
22/08/2022,95.81,95.36,96.66,92,186.81K,-0.94%
19/08/2022,96.72,96.68,97.88,94.25,178.60K,0.13%
18/08/2022,96.59,93.29,97.42,93.05,208.55K,3.14%
17/08/2022,93.65,92.67,94.48,91.51,199.19K,1.42%
16/08/2022,92.34,94.01,95.95,91.71,217.75K,-2.90%
15/08/2022,95.1,97.72,98.17,92.78,217.57K,-3.11%
12/8/2022,98.15,99.33,100.38,96.94,188.13K,-1.46%
11/8/2022,99.6,97.04,100.17,96.63,219.42K,2.26%
10/8/2022,97.4,96.34,97.97,93.63,247.74K,1.13%
9/8/2022,96.31,96.36,98.4,94.9,219.67K,-0.35%
8/8/2022,96.65,94.51,96.82,93.01,201.25K,1.82%
5/8/2022,94.92,93.65,96.4,92.78,216.20K,0.85%
4/8/2022,94.12,97.1,97.66,93.2,264.81K,-2.75%
3/8/2022,96.78,99.73,102.41,96.5,293.11K,-3.74%
2/8/2022,100.54,99.87,102.41,98.49,229.68K,0.51%
1/8/2022,100.03,103.92,104.43,99.09,272.84K,-9.07%
29/07/2022,110.01,108,110.67,106.9,9.13K,2.68%
28/07/2022,107.14,107.31,109.06,106,80.84K,0.49%
27/07/2022,106.62,104.75,107.86,103.73,77.69K,2.13%
26/07/2022,104.4,104.73,107.34,103.99,110.00K,-0.71%
25/07/2022,105.15,103.85,105.38,101.64,123.67K,1.89%
22/07/2022,103.2,103.86,105.72,101.9,137.24K,-0.64%
21/07/2022,103.86,106.49,106.78,101.5,228.70K,-2.86%
20/07/2022,106.92,107.07,107.45,105.08,186.70K,-0.40%
19/07/2022,107.35,105.74,107.61,103.6,226.40K,1.02%
18/07/2022,106.27,100.82,106.48,99.46,213.50K,5.05%
15/07/2022,101.16,99.91,102.64,98.17,218.09K,2.08%
14/07/2022,99.1,99.43,100.39,94.5,318.79K,-0.47%
13/07/2022,99.57,98.5,101.21,98.28,247.47K,0.08%
12/7/2022,99.49,106.25,106.56,98.9,275.62K,-7.11%
11/7/2022,107.1,107,107.7,103.64,194.66K,0.07%
8/7/2022,107.02,104.65,107.47,103.67,238.35K,2.26%
7/7/2022,104.65,100.14,106.35,98.5,279.66K,3.93%
6/7/2022,100.69,104.88,105.85,98.5,350.30K,-2.02%
5/7/2022,102.77,113.54,114.75,101.1,428.84K,-9.45%
4/7/2022,113.5,111.65,114,110.4,100.59K,1.68%
1/7/2022,111.63,109.49,112.45,108.03,235.42K,-2.77%
30/06/2022,114.81,116.01,116.67,114.22,7.11K,-1.25%
29/06/2022,116.26,117.96,120.41,115.2,54.34K,-1.46%
28/06/2022,117.98,115.74,118.27,115.72,65.76K,2.51%
27/06/2022,115.09,112.92,116.08,111.26,118.10K,1.74%
24/06/2022,113.12,110.04,114,109.24,134.18K,2.79%
23/06/2022,110.05,109.58,112.7,108.04,195.92K,-1.51%
22/06/2022,111.74,114.4,114.45,107.03,293.05K,-2.54%
21/06/2022,114.65,114.21,116.25,114.02,204.03K,0.46%
20/06/2022,114.13,113.88,114.5,111.52,161.60K,0.89%
17/06/2022,113.12,119.13,121.25,111.72,319.91K,-5.58%
16/06/2022,119.81,119.65,120.29,115.56,276.68K,1.10%
15/06/2022,118.51,120.79,121.88,117.75,231.06K,-2.20%
14/06/2022,121.17,121.88,125.19,118.91,291.26K,-0.90%
13/06/2022,122.27,121.94,123.7,118.93,257.11K,0.21%
10/6/2022,122.01,122.89,124.33,119.81,294.28K,-0.86%
9/6/2022,123.07,123.6,124.34,122.5,218.98K,-0.41%
8/6/2022,123.58,120.65,124.4,120.45,256.29K,2.50%
7/6/2022,120.57,119.94,121.37,118.55,276.72K,0.89%
6/6/2022,119.51,121.55,121.95,118.77,204.09K,-0.18%
3/6/2022,119.72,118.22,121.45,116.02,141.66K,1.79%
2/6/2022,117.61,115.02,118.46,112.45,216.90K,1.14%
1/6/2022,116.29,116.08,118.57,115.4,242.16K,-5.33%
31/05/2022,122.84,122.2,125.28,121.6,11.56K,0.96%
30/05/2022,121.67,119.28,122.01,118.98,42.41K,1.88%
27/05/2022,119.43,117.52,119.72,116.63,81.16K,1.73%
26/05/2022,117.4,114.35,118,113.85,123.58K,2.96%
25/05/2022,114.03,114.12,115.3,113.01,152.33K,0.41%
24/05/2022,113.56,112.79,114.63,111.7,191.73K,0.12%
23/05/2022,113.42,112.85,114.34,111.86,196.51K,0.77%
20/05/2022,112.55,111.45,113.23,110.52,180.89K,0.46%
19/05/2022,112.04,108.22,112.31,105.7,272.35K,2.69%
18/05/2022,109.11,112.91,114.15,108.35,245.04K,-2.52%
17/05/2022,111.93,114.42,115.69,111.09,277.89K,-2.02%
16/05/2022,114.24,111.67,114.79,108.84,218.44K,2.41%
13/05/2022,111.55,108.25,111.69,107.79,220.32K,3.82%
12/5/2022,107.45,107.67,108.71,104.69,264.26K,-0.06%
11/5/2022,107.51,101.51,108.29,101.3,287.53K,4.93%
10/5/2022,102.46,105.5,106.96,101.54,327.99K,-3.28%
9/5/2022,105.94,112.94,113.2,105,302.17K,-5.74%
6/5/2022,112.39,111.27,113.5,109.87,249.83K,1.34%
5/5/2022,110.9,110.55,114,109.2,279.88K,0.69%
4/5/2022,110.14,105.91,111,105.46,241.68K,4.93%
3/5/2022,104.97,107.61,108.32,104.62,184.20K,-2.43%
2/5/2022,107.58,106.3,108.46,103.1,151.34K,-1.61%
29/04/2022,109.34,107.55,110.3,107,12.02K,1.63%
28/04/2022,107.59,104.96,108,103.29,73.32K,2.16%
27/04/2022,105.32,105.45,106.33,103.27,67.06K,0.31%
26/04/2022,104.99,102.53,106.2,101.08,138.20K,2.61%
25/04/2022,102.32,105.49,105.85,99.48,156.35K,-4.06%
22/04/2022,106.65,108.26,108.76,105.54,125.87K,-1.55%
21/04/2022,108.33,107.07,109.8,106.76,185.38K,1.43%
20/04/2022,106.8,108.1,109,104.65,243.67K,-0.42%
19/04/2022,107.25,112.85,114.21,106.74,239.91K,-5.22%
18/04/2022,113.16,112.32,114.84,110.71,132.15K,1.31%
14/04/2022,111.7,108.29,112.39,106.63,210.18K,2.68%
13/04/2022,108.78,105.44,109,104.06,247.26K,3.96%
12/4/2022,104.64,99.35,105.6,98.9,273.95K,6.26%
11/4/2022,98.48,103.21,103.3,97.57,238.69K,-4.18%
8/4/2022,102.78,101.42,103.3,99.65,217.64K,2.19%
7/4/2022,100.58,101.78,103.59,98.41,296.03K,-0.48%
6/4/2022,101.07,105.7,108.67,100.54,286.52K,-5.22%
5/4/2022,106.64,108.51,109.9,104.53,203.06K,-0.83%
4/4/2022,107.53,104.08,108.68,102.89,218.68K,3.01%
1/4/2022,104.39,105.25,106.24,102.35,238.62K,-3.26%
31/03/2022,107.91,112.81,112.94,106.5,8.68K,-4.88%
30/03/2022,113.45,112,114.8,110.74,72.33K,2.92%
29/03/2022,110.23,110.1,114.83,104.84,93.68K,-2.00%
28/03/2022,112.48,119.9,119.9,109.06,150.82K,-6.77%
25/03/2022,120.65,118.88,120.92,115.16,133.46K,1.36%
24/03/2022,119.03,121.56,123.74,116.93,177.66K,-2.11%
23/03/2022,121.6,114.7,122.34,114.45,224.53K,5.30%
